order_id,date,amount,status,processed_at
ORD_20260601_0048,2026-06-01,466.89,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0049,2026-06-01,172.9,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0050,2026-06-01,408.27,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0051,2026-06-01,440.5,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0052,2026-06-01,357.72,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0053,2026-06-01,301.48,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0054,2026-06-01,244.94,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0055,2026-06-01,493.65,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0056,2026-06-01,439.81,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0057,2026-06-01,165.29,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0058,2026-06-01,199.37,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0059,2026-06-01,149.08,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0060,2026-06-01,188.44,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0061,2026-06-01,291.13,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0062,2026-06-01,445.04,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0063,2026-06-01,11.18,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0064,2026-06-01,251.62,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0065,2026-06-01,369.81,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0066,2026-06-01,251.24,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0067,2026-06-01,337.09,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0068,2026-06-01,344.73,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0069,2026-06-01,303.73,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0070,2026-06-01,388.06,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0071,2026-06-01,493.22,COMPLETED,2026-07-29T08:38:31.484615
